"country","year","cowcode","western","lbritcoli","lnewci","lethnici","lmoslemi","lproti","lreligioni","oil","lpolity2","llngdppc","lgrowth","lworld_polity","lage","polity2_norm","lpolity2_norm","dec90","dec2000","pr","federalism","lb_dum","cses_dum","ab_dum","lgvf","lgvp","lpvf","lpvp","war","v2peapssoc","v2x_polyarchy","reversed_v2peapssoc","bgi","lagged_v2x_polyarchy"
"Slovakia",2013,317,0,0,1,14.3000030517578,0,17.6000003814697,35.5999984741211,0,10,10.1506452560425,1.4842940568924,4.06748485565186,19,1,1,0,0,1,0,0,1,0,0.146436303853989,0.245309397578239,0.197768896818161,0.143865093588829,0,1.319,0.838,-0.872,0.33039170150178,0.848
"Slovakia",2014,317,0,0,1,14.3000030517578,0,17.6000003814697,35.5999984741211,0,10,10.1643667221069,1.38164603710175,4.23926401138306,20,1,1,0,0,1,0,0,1,0,0.146436303853989,0.245309397578239,0.197768896818161,0.143865093588829,0,1.319,0.842,-0.872,0.33039170150178,0.838
"Slovakia",2015,317,0,0,1,14.3000030517578,0,17.6000003814697,35.5999984741211,0,10,10.1887798309326,2.47135734558105,4.17073154449463,21,1,1,0,0,1,0,0,1,0,0.146436303853989,0.245309397578239,0.197768896818161,0.143865093588829,0,1.319,0.845,-0.872,0.33039170150178,0.842
"Slovenia",1997,349,0,0,1,12.1999969482422,1,1.5,15.3000030517578,0,10,9.84681415557861,3.5810375213623,2.35625004768372,5,1,1,1,0,1,0,0,1,0,0.0127339996397495,0.0246482007205486,0.0197126008570194,0.0155052999034524,0,2.857,0.846,-2.41,0.0922743458739742,NA
"Slovenia",1998,349,0,0,1,12.1999969482422,1,1.5,15.3000030517578,0,10,9.89803791046143,5.25580215454102,2.33750009536743,6,1,1,1,0,1,0,0,1,0,0.0127339996397495,0.0246482007205486,0.0197126008570194,0.0155052999034524,0,2.857,0.841,-2.41,0.0922743458739742,0.846
"Slovenia",1999,349,0,0,1,12.1999969482422,1,1.5,15.3000030517578,0,10,9.93254661560059,3.51116418838501,2.49375009536743,7,1,1,1,0,1,0,0,1,0,0.0127339996397495,0.0246482007205486,0.0197126008570194,0.0155052999034524,0,2.857,0.841,-2.41,0.0922743458739742,0.841
"Slovenia",2000,349,0,0,1,12.1999969482422,1,1.5,15.3000030517578,0,10,9.98323249816895,5.19917964935303,2.71250009536743,8,1,1,0,1,1,0,0,1,0,0.0127339996397495,0.0246482007205486,0.0197126008570194,0.0155052999034524,0,2.857,0.845,-2.41,0.0922743458739742,0.841
"Slovenia",2001,349,0,0,1,12.1999969482422,1,1.5,15.3000030517578,0,10,10.0209856033325,3.84751129150391,2.95624995231628,9,1,1,0,1,1,0,0,1,0,0.0127339996397495,0.0246482007205486,0.0197126008570194,0.0155052999034524,0,2.857,0.826,-2.41,0.0922743458739742,0.845
"Slovenia",2002,349,0,0,1,12.1999969482422,1,1.5,15.3000030517578,0,10,10.0484771728516,2.78734850883484,3.16352200508118,10,1,1,0,1,1,0,0,1,0,0.0127339996397495,0.0246482007205486,0.0197126008570194,0.0155052999034524,0,2.857,0.85,-2.41,0.0922743458739742,0.826
"Slovenia",2003,349,0,0,1,12.1999969482422,1,1.5,15.3000030517578,0,10,10.0848836898804,3.70771336555481,3.27500009536743,11,1,1,0,1,1,0,0,1,0,0.0127339996397495,0.0246482007205486,0.0197126008570194,0.0155052999034524,0,2.857,0.847,-2.41,0.0922743458739742,0.85
