"country","year.x","cowcode","western","lbritcoli","lnewci","lethnici","lmoslemi","lproti","lreligioni","oil","lpolity2","llngdppc","lgrowth","lworld_polity","lage","polity2_norm","lpolity2_norm","dec90","dec2000","pr","federalism","lb_dum","cses_dum","ab_dum","lgvf","lgvp","lpvf","lpvp","war","ccode","pg","ELF_fearon_std","betweenstd","cultfrac_std","GIstd","gini_net_std","geo_iso_std","lngdpstd","popstd","polity2std","afrobarom","wvs","cses","cses_wvs","ELF_ethnic","polity2","between_afrorev","pg_05pct","elf_05pct","between_05pct","lngdp_05pct","polity_05pct","pop_05pct","gini_05pct","iso_05pct","fearon5pct","year.y","pg6_year","pg10_year","ELF_year","between_year","polity2std_year","lngdpstd_year","popstd_year","gininetstd_year","isostd_year","afrobarom_year","wvs_year","cses_year","polity2_year","multipleyears","v2peapssoc","v2x_polyarchy","reversed_v2peapssoc","new_reversed","bgi"
"Bulgaria",2003,355,0,0,0,13,7.5,0.699999988079071,73,0,9,9.24150276184082,8.06363201141357,3.27500009536743,12,0.949999988079071,0.949999988079071,0,1,1,0,0,1,0,0.134686917066574,0.236945673823357,0.152068898081779,0.144425675272942,0,100,0.561910152435303,-0.822105884552002,0.444577902555466,-0.26362133026123,0.250056117773056,-0.966102600097656,0.355067372322083,0.098276786506176,-0.347594082355499,0.541442155838013,0,0,1,0,0.299485087394714,9,0.485366761684418,0.536510050296783,-0.720227003097534,0.350401192903519,0.0509944818913937,0.454487204551697,-0.360928565263748,-0.955761730670929,0.370599210262299,1,2001,0.295909374952316,0.554844319820404,-0.993573248386383,0.423220306634903,0.492892026901245,0.00860984157770872,-0.409238696098328,-1.04801440238953,0.417359262704849,0,0,1,9,0,1.122,0.722,-0.675,0.360891778913144,0.511326888956703
"Bulgaria",2004,355,0,0,0,13,7.5,0.699999988079071,73,0,9,9.29675579071045,5.68072271347046,3.30379748344421,13,0.949999988079071,0.949999988079071,0,1,1,0,0,0,0,0.132360652089119,0.23401415348053,0.151410102844238,0.139140456914902,0,100,0.561910152435303,-0.822105884552002,0.444577902555466,-0.26362133026123,0.250056117773056,-0.966102600097656,0.355067372322083,0.098276786506176,-0.347594082355499,0.541442155838013,0,0,1,0,0.299485087394714,9,0.485366761684418,0.536510050296783,-0.720227003097534,0.350401192903519,0.0509944818913937,0.454487204551697,-0.360928565263748,-0.955761730670929,0.370599210262299,1,2001,0.295909374952316,0.554844319820404,-0.993573248386383,0.423220306634903,0.492892026901245,0.00860984157770872,-0.409238696098328,-1.04801440238953,0.417359262704849,0,0,1,9,0,1.122,0.72,-0.675,0.360891778913144,0.511326888956703
"Bulgaria",2005,355,0,0,0,13,7.5,0.699999988079071,73,0,9,9.36568546295166,7.13613557815552,3.43396234512329,14,0.949999988079071,0.949999988079071,0,1,1,0,0,0,0,0.130034387111664,0.231082618236542,0.150751292705536,0.133855223655701,0,100,0.561910152435303,-0.822105884552002,0.444577902555466,-0.26362133026123,0.250056117773056,-0.966102600097656,0.355067372322083,0.098276786506176,-0.347594082355499,0.541442155838013,0,0,1,0,0.299485087394714,9,0.485366761684418,0.536510050296783,-0.720227003097534,0.350401192903519,0.0509944818913937,0.454487204551697,-0.360928565263748,-0.955761730670929,0.370599210262299,1,2001,0.295909374952316,0.554844319820404,-0.993573248386383,0.423220306634903,0.492892026901245,0.00860984157770872,-0.409238696098328,-1.04801440238953,0.417359262704849,0,0,1,9,0,1.122,0.706,-0.675,0.360891778913144,0.511326888956703
"Bulgaria",2006,355,0,0,0,13,7.5,0.699999988079071,73,0,9,9.44086647033691,7.80786895751953,3.67499995231628,15,0.949999988079071,0.949999988079071,0,1,1,0,0,0,0,0.127708107233047,0.228151097893715,0.150092497467995,0.128570005297661,0,100,0.561910152435303,-0.822105884552002,0.444577902555466,-0.26362133026123,0.250056117773056,-0.966102600097656,0.355067372322083,0.098276786506176,-0.347594082355499,0.541442155838013,0,0,1,0,0.299485087394714,9,0.485366761684418,0.536510050296783,-0.720227003097534,0.350401192903519,0.0509944818913937,0.454487204551697,-0.360928565263748,-0.955761730670929,0.370599210262299,1,2001,0.295909374952316,0.554844319820404,-0.993573248386383,0.423220306634903,0.492892026901245,0.00860984157770872,-0.409238696098328,-1.04801440238953,0.417359262704849,0,0,1,9,0,1.122,0.708,-0.675,0.360891778913144,0.511326888956703
"Bulgaria",2007,355,0,0,0,13,7.5,0.699999988079071,73,0,9,9.51151084899902,7.31996631622314,3.75925922393799,16,0.949999988079071,0.949999988079071,0,1,1,0,0,0,0,0.127708107233047,0.228151097893715,0.150092497467995,0.128570005297661,0,100,0.561910152435303,-0.822105884552002,0.444577902555466,-0.26362133026123,0.250056117773056,-0.966102600097656,0.355067372322083,0.098276786506176,-0.347594082355499,0.541442155838013,0,0,1,0,0.299485087394714,9,0.485366761684418,0.536510050296783,-0.720227003097534,0.350401192903519,0.0509944818913937,0.454487204551697,-0.360928565263748,-0.955761730670929,0.370599210262299,1,2001,0.295909374952316,0.554844319820404,-0.993573248386383,0.423220306634903,0.492892026901245,0.00860984157770872,-0.409238696098328,-1.04801440238953,0.417359262704849,0,0,1,9,0,1.122,0.717,-0.675,0.360891778913144,0.511326888956703
"Bulgaria",2008,355,0,0,0,13,7.5,0.699999988079071,73,0,9,9.60562419891357,9.86846446990967,3.72670817375183,17,0.949999988079071,0.949999988079071,0,1,1,0,0,0,0,0.127708107233047,0.228151097893715,0.150092497467995,0.128570005297661,0,100,0.561910152435303,-0.822105884552002,0.444577902555466,-0.26362133026123,0.250056117773056,-0.966102600097656,0.355067372322083,0.098276786506176,-0.347594082355499,0.541442155838013,0,0,1,0,0.299485087394714,9,0.485366761684418,0.536510050296783,-0.720227003097534,0.350401192903519,0.0509944818913937,0.454487204551697,-0.360928565263748,-0.955761730670929,0.370599210262299,1,2001,0.295909374952316,0.554844319820404,-0.993573248386383,0.423220306634903,0.492892026901245,0.00860984157770872,-0.409238696098328,-1.04801440238953,0.417359262704849,0,0,1,9,0,1.122,0.721,-0.675,0.360891778913144,0.511326888956703
"Bulgaria",2009,355,0,0,0,13,7.5,0.699999988079071,73,0,9,9.66757678985596,6.39117193222046,3.83950614929199,18,0.949999988079071,0.949999988079071,0,1,1,0,0,0,0,0.127708107233047,0.228151097893715,0.150092497467995,0.128570005297661,0,100,0.561910152435303,-0.822105884552002,0.444577902555466,-0.26362133026123,0.250056117773056,-0.966102600097656,0.355067372322083,0.098276786506176,-0.347594082355499,0.541442155838013,0,0,1,0,0.299485087394714,9,0.485366761684418,0.536510050296783,-0.720227003097534,0.350401192903519,0.0509944818913937,0.454487204551697,-0.360928565263748,-0.955761730670929,0.370599210262299,1,2001,0.295909374952316,0.554844319820404,-0.993573248386383,0.423220306634903,0.492892026901245,0.00860984157770872,-0.409238696098328,-1.04801440238953,0.417359262704849,0,0,1,9,0,1.122,0.7,-0.675,0.360891778913144,0.511326888956703
"Bulgaria",2010,355,0,0,0,13,7.5,0.699999988079071,73,0,9,9.6309061050415,-3.60064053535461,3.82716059684753,19,0.949999988079071,0.949999988079071,0,0,1,0,0,0,0,0.127708107233047,0.228151097893715,0.150092497467995,0.128570005297661,0,100,0.561910152435303,-0.822105884552002,0.444577902555466,-0.26362133026123,0.250056117773056,-0.966102600097656,0.355067372322083,0.098276786506176,-0.347594082355499,0.541442155838013,0,0,1,0,0.299485087394714,9,0.485366761684418,0.536510050296783,-0.720227003097534,0.350401192903519,0.0509944818913937,0.454487204551697,-0.360928565263748,-0.955761730670929,0.370599210262299,1,2001,0.295909374952316,0.554844319820404,-0.993573248386383,0.423220306634903,0.492892026901245,0.00860984157770872,-0.409238696098328,-1.04801440238953,0.417359262704849,0,0,1,9,0,1.122,0.686,-0.675,0.360891778913144,0.511326888956703
"Bulgaria",2011,355,0,0,0,13,7.5,0.699999988079071,73,0,9,9.63803386688232,0.715365588665009,3.88343548774719,20,0.949999988079071,0.949999988079071,0,0,1,0,0,0,0,0.127708107233047,0.228151097893715,0.150092497467995,0.128570005297661,0,100,0.561910152435303,-0.822105884552002,0.444577902555466,-0.26362133026123,0.250056117773056,-0.966102600097656,0.355067372322083,0.098276786506176,-0.347594082355499,0.541442155838013,0,0,1,0,0.299485087394714,9,0.485366761684418,0.536510050296783,-0.720227003097534,0.350401192903519,0.0509944818913937,0.454487204551697,-0.360928565263748,-0.955761730670929,0.370599210262299,1,2001,0.295909374952316,0.554844319820404,-0.993573248386383,0.423220306634903,0.492892026901245,0.00860984157770872,-0.409238696098328,-1.04801440238953,0.417359262704849,0,0,1,9,0,1.122,0.682,-0.675,0.360891778913144,0.511326888956703
"Bulgaria",2012,355,0,0,0,13,7.5,0.699999988079071,73,0,9,9.66341590881348,2.57062339782715,4.07975482940674,21,0.949999988079071,0.949999988079071,0,0,1,0,0,0,0,0.127708107233047,0.228151097893715,0.150092497467995,0.128570005297661,0,100,0.561910152435303,-0.822105884552002,0.444577902555466,-0.26362133026123,0.250056117773056,-0.966102600097656,0.355067372322083,0.098276786506176,-0.347594082355499,0.541442155838013,0,0,1,0,0.299485087394714,9,0.485366761684418,0.536510050296783,-0.720227003097534,0.350401192903519,0.0509944818913937,0.454487204551697,-0.360928565263748,-0.955761730670929,0.370599210262299,1,2001,0.295909374952316,0.554844319820404,-0.993573248386383,0.423220306634903,0.492892026901245,0.00860984157770872,-0.409238696098328,-1.04801440238953,0.417359262704849,0,0,1,9,0,1.122,0.667,-0.675,0.360891778913144,0.511326888956703
